Handle,Title,Category type,Variant Price
Hair Care,,1,
Hair Oil,,2,
Oil Dabur,,3,
dabur-vatika-moroccan-argan-enriched-hair-oil-moisture-soft-200ml,"Dabur Vatika Moroccan Argan Enriched Hair Oil, Moisture Soft 200ml",0,320
dabur-vatika-enriched-coconut-hair-oil-extra-nourishment-125ml,"Dabur Vatika Enriched Coconut Hair Oil, Extra Nourishment 125ml",0,210
dabur-vatika-enriched-coconut-hair-oil-extra-nourishment-250ml,"Dabur Vatika Enriched Coconut Hair Oil, Extra Nourishment 250ml",0,375
dabur-vatika-olive-enriched-hair-oil-nourish-protect-200ml,"Dabur Vatika Olive Enriched Hair Oil, Nourish & Protect 200ml",0,320
dabur-amla-hair-oil-100ml,Dabur Amla Hair Oil 100ml,0,170
dabur-amla-hair-oil-300ml,Dabur Amla Hair Oil 300ml,0,400
Hair Color,,2,
Color Framesi,,3,
framesi-framcolor-glamour-hair-coloring-cream-6-4-dark-aubum-blonde,"Framesi Framcolor Glamour Hair Coloring Cream, 6.4 Dark Aubum Blonde",0,650
Color Revlon,,3,
revlon-colorsilk-black-hair-color-10,Revlon Colorsilk Black Hair Color 10,0,395
revlon-colorsilk-brown-black-hair-color-20,Revlon Colorsilk Brown Black Hair Color 20,0,395
revlon-colorsilk-burgundy-hair-color-48,Revlon Colorsilk Burgundy Hair Color 48,0,395
revlon-colorsilk-dark-blonde-hair-color-61,Revlon Colorsilk Dark Blonde Hair Color 61,0,395
revlon-colorsilk-dark-brown-hair-color-30,Revlon Colorsilk Dark Brown Hair Color 30,0,395
revlon-colorsilk-dark-golden-brown-hair-color-37,Revlon Colorsilk Dark Golden Brown Hair Color 37,0,395
revlon-colorsilk-deep-rich-brown-hair-color-27,Revlon Colorsilk Deep Rich Brown Hair Color 27,0,395
revlon-colorsilk-light-ash-brown-hair-color-50,Revlon Colorsilk Light Ash Brown Hair Color 50,0,395
revlon-colorsilk-light-golden-brown-hair-color-54,Revlon Colorsilk Light Golden Brown Hair Color 54,0,395
revlon-colorsilk-medium-ash-brown-hair-color-40,Revlon Colorsilk Medium Ash Brown Hair Color 40,0,395
revlon-colorsilk-medium-auburn-hair-color-42,Revlon Colorsilk Medium Auburn Hair Color 42,0,395
revlon-colorsilk-medium-brown-hair-color-41,Revlon Colorsilk Medium Brown Hair Color 41,0,395
revlon-colorsilk-medium-golden-brown-hair-color-43,Revlon Colorsilk Medium Golden Brown Hair Color 43,0,395
revlon-colorsilk-natural-blue-black-hair-color-12,Revlon Colorsilk Natural Blue Black Hair Color 12,0,395
revlon-colorsilk-soft-black-hair-color-11,Revlon Colorsilk Soft Black Hair Color 11,0,395
revlon-colorsilk-vibrant-red-hair-color-35,Revlon Colorsilk Vibrant Red Hair Color 35,0,395
Color Schwarzkopf,,3,
schwarzkopf-igora-l-00-natural-extra-royal-fashion-light-hair-color,"Schwarzkopf Igora, L-00 Natural Extra, Royal Fashion Light Hair Color",0,995
schwarzkopf-igora-l-88-red-extra-royal-fashion-light-hair-color,"Schwarzkopf Igora, L-88 Red Extra, Royal Fashion Light Hair Color",0,995
